epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.697,0.27427,0.1951,0.77487,0.99683,0.99188,0.99482,0.96874,0.2464,0.18149,0.79374,0.000555199,0.000555199,0.000555199
2,325.94,0.29469,0.21135,0.77684,0.99824,0.99192,0.99492,0.96453,0.24721,0.18975,0.79473,0.00104977,0.00104977,0.00104977
3,481.419,0.29569,0.21124,0.7776,0.99795,0.99116,0.9949,0.96671,0.24943,0.18143,0.79485,0.00148321,0.00148321,0.00148321
4,634.001,0.28715,0.20488,0.77652,0.99807,0.99149,0.99491,0.97449,0.23516,0.17248,0.79371,0.00139195,0.00139195,0.00139195
5,787.558,0.28055,0.20001,0.77547,0.99754,0.99235,0.99491,0.96998,0.22756,0.1706,0.79215,0.00130026,0.00130026,0.00130026
6,960.466,0.27342,0.19533,0.77477,0.99721,0.99274,0.99493,0.96796,0.22673,0.16541,0.79249,0.00120857,0.00120857,0.00120857
7,1133.08,0.26437,0.18862,0.77509,0.99846,0.9921,0.99493,0.97819,0.21526,0.15899,0.79156,0.00111689,0.00111689,0.00111689
8,1308.45,0.25695,0.18433,0.77358,0.99773,0.99267,0.99493,0.97814,0.21574,0.15817,0.79062,0.00102521,0.00102521,0.00102521
9,1507.84,0.25125,0.17958,0.77293,0.99771,0.99391,0.99495,0.98179,0.2064,0.15298,0.79069,0.00093352,0.00093352,0.00093352
10,1682.27,0.24742,0.17598,0.77298,0.99815,0.99296,0.99495,0.97982,0.2096,0.15136,0.79068,0.000841835,0.000841835,0.000841835
11,1850.63,0.24119,0.17237,0.77054,0.99703,0.99391,0.99493,0.98278,0.21352,0.15228,0.79089,0.00075015,0.00075015,0.00075015
12,2011.17,0.23615,0.16805,0.76992,0.99803,0.99294,0.99495,0.98295,0.20245,0.14641,0.7898,0.000658465,0.000658465,0.000658465
13,2177.23,0.23057,0.1636,0.77181,0.99791,0.99382,0.99496,0.98451,0.18968,0.13676,0.78829,0.00056678,0.00056678,0.00056678
